global_acc,global_loss,global_f1,global_precision,global_recall,global_auc
0.9507934476580496,0.5211318135261536,0.9531240475464797,0.9622153846153846,0.9442028985507246,0.9850962518309887
0.9589198873816227,0.5200614333152771,0.961001093427287,0.966756294304571,0.9553140096618358,0.9871440501736974
0.9609035065267468,0.5189219117164612,0.9629270068563802,0.9675649311059626,0.9583333333333334,0.9879828123726196
0.9612234450985411,0.5184203386306763,0.9632727272727272,0.9667883211678832,0.9597826086956521,0.9886112984834022
0.9621832608139237,0.5179592967033386,0.9641926688882156,0.9674164133738602,0.9609903381642512,0.9890382114558761
0.9626311748144356,0.5176466703414917,0.9646317829457365,0.967444120505345,0.9618357487922705,0.9893645433112694
0.9630151011005886,0.517384946346283,0.9650078702022037,0.9674678319980577,0.9625603864734299,0.9896386410315074
0.963718965958536,0.5170816779136658,0.9656717321547496,0.9681923030229452,0.9631642512077294,0.9898792747180213
0.9638469413872537,0.5169028043746948,0.9658011016282307,0.9680863972818833,0.9635265700483092,0.9900590041918798
0.9639749168159714,0.5166947245597839,0.9659304084720122,0.9679805942995755,0.9638888888888889,0.9902048916001988
0.9641668799590478,0.5165590643882751,0.9661263005081056,0.9677653902084343,0.9644927536231884,0.9903289599983169
0.9643588431021244,0.5163994431495667,0.9663098046331579,0.9678904640736702,0.9647342995169083,0.9904289905038408
0.9646787816739186,0.5162525177001953,0.9666021297192643,0.9684772065955383,0.9647342995169083,0.9905153461193554
0.964550806245201,0.5161485075950623,0.9664851784633999,0.9682424242424242,0.9647342995169083,0.9905820522985649
0.9646787816739186,0.5160426497459412,0.9666061705989111,0.9683636363636363,0.9648550724637681,0.9906430058197176
0.9648067571026363,0.515943169593811,0.9667311879990322,0.9683713039263209,0.965096618357488,0.9906902680146952
0.964934732531354,0.5158577561378479,0.9668601838413159,0.968265503875969,0.9654589371980676,0.9907159906142919
0.9649987202457129,0.5157558917999268,0.9669146555374101,0.968496304374167,0.9653381642512078,0.9907591108954686
0.9651266956744305,0.5156842470169067,0.9670396129422437,0.968503937007874,0.9655797101449275,0.9907787932041056
0.9651266956744305,0.5156212449073792,0.9670475844972488,0.9682770311175687,0.9658212560386473,0.990809085057816
