,Dataset,Rounds,no-clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,10,5,0.9826795212765959,0.563814926147461,0.9764082974218754,0.9806267214650228,0.9722272317403066,0.9955233189505559,0.02777276825969342
1,Drebin,10,10,0.981216755319149,0.565537977218628,0.974486881669762,0.9759422699267377,0.9730387736699729,0.9962098603460319,0.02696122633002705
2,Drebin,10,15,0.9742021276595745,0.5699744164943695,0.9648706238050033,0.9690065325987295,0.9607754733994589,0.9947715825946076,0.03922452660054103
3,Drebin,20,5,0.9848238031914891,0.5617108523845673,0.9793634444011948,0.9820063336728337,0.9767357980162309,0.9962091955758595,0.023264201983769155
4,Drebin,20,10,0.9808843085106386,0.5644317060709,0.9740713859564348,0.974034962926711,0.9741208295761947,0.9957678475359106,0.025879170423805227
5,Drebin,20,15,0.9794547872340422,0.5654564499855042,0.9720416089287855,0.9755895468338462,0.9685302073940486,0.9958874230706589,0.0314697926059513
6,Malgenome,10,5,0.9911842105263158,0.5688114106655121,0.987167166219953,0.9794974236127301,0.994980694980695,0.9998874837198188,0.005019305019305019
7,Malgenome,10,10,0.9901315789473685,0.5714352548122406,0.9855013504689956,0.9845984677272848,0.9864864864864865,0.9994929060797324,0.013513513513513514
8,Malgenome,10,15,0.9838157894736842,0.5743191421031952,0.9763645704470095,0.9717278461341884,0.9810810810810813,0.9988031658690341,0.01891891891891892
9,Malgenome,20,5,0.9962500000000001,0.5664213448762894,0.9944959803845274,0.9944059009502674,0.9945945945945944,0.9997695728234653,0.005405405405405408
10,Malgenome,20,10,0.9892105263157894,0.5701991766691208,0.9842677337181123,0.97772598428057,0.9909266409266408,0.999490979431099,0.009073359073359075
11,Malgenome,20,15,0.9921052631578945,0.5691079676151276,0.9884320927286989,0.9858060244917576,0.9911196911196912,0.9997225625968144,0.00888030888030888
12,Kronodroid,10,5,0.9632006654722293,0.5178047358989716,0.9651118865081543,0.9693783658172389,0.9608937198067633,0.9898807876670899,0.03910628019323671
13,Kronodroid,10,10,0.9548310724340926,0.5234285891056061,0.9569963390685345,0.9655700920360968,0.9485748792270531,0.9870109854401867,0.051425120772946864
14,Kronodroid,10,15,0.9498080368569235,0.5276331007480621,0.9521898297587402,0.96124092542968,0.9433091787439611,0.9856479177678897,0.05669082125603864
15,Kronodroid,20,5,0.9683388789352445,0.5130357563495636,0.9700479199144422,0.9722730094725384,0.9678381642512079,0.9909247097866192,0.032161835748792264
16,Kronodroid,20,10,0.9623592270284107,0.5170490235090256,0.964413914174075,0.9660936320698786,0.9627415458937199,0.9902547445458227,0.03725845410628019
17,Kronodroid,20,15,0.9607147427693882,0.5197544097900391,0.9627836159991101,0.9661223980492727,0.9594867149758451,0.9884756750497689,0.040513285024154584
18,Tuandromd,10,5,0.9880179171332586,0.39164275527000425,0.992657072535,0.9917745749357627,0.9935439560439561,0.9988782051282051,0.0064560439560439565
19,Tuandromd,10,10,0.9840985442329228,0.3929635614156723,0.9902081007865414,0.9937708830504333,0.9866758241758241,0.9983949383949383,0.013324175824175827
20,Tuandromd,10,15,0.9799552071668535,0.39627866446971893,0.9876700242223251,0.9903446783250327,0.9850274725274725,0.9977355977355977,0.014972527472527471
21,Tuandromd,20,5,0.9893057110862262,0.3899866208434105,0.9934506081717904,0.9919208832196315,0.9949862637362635,0.999213702963703,0.005013736263736264
22,Tuandromd,20,10,0.9843784994400894,0.39216199070215224,0.9904142024056799,0.9908580736100451,0.9899725274725272,0.998794746919747,0.010027472527472523
23,Tuandromd,20,15,0.9839865621500559,0.393216010928154,0.9901353840267536,0.9937704234342796,0.9865384615384615,0.9960098235098235,0.01346153846153846
