global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.9753989361702128,0.5728867650032043,0.9663330300272976,0.9752066115702479,0.957619477006312,0.9951291339801547,0.04238052299368801
0.9810505319148937,0.5644340515136719,0.9741730856366108,0.9790528233151184,0.9693417493237151,0.9959202104852299,0.030658250676284943
0.9823803191489362,0.5633145570755005,0.9759855006796557,0.9808743169398907,0.9711451758340848,0.9961524052097088,0.028854824165915238
0.9837101063829787,0.5628735423088074,0.9777979157227006,0.982695810564663,0.9729486023444545,0.9962307531228767,0.027051397655545536
0.9847074468085106,0.5626577734947205,0.9791855203619909,0.9827429609445958,0.975653742110009,0.9961633264339685,0.024346257889990983
0.9850398936170213,0.5624708533287048,0.9796103307657453,0.9845173041894353,0.9747520288548241,0.9961932410917236,0.025247971145175834
0.9850398936170213,0.5621910095214844,0.9796287913082843,0.9836363636363636,0.975653742110009,0.9961908669125367,0.024346257889990983
0.9850398936170213,0.5621118545532227,0.9796287913082843,0.9836363636363636,0.975653742110009,0.9961979894500974,0.024346257889990983
0.9847074468085106,0.5621745586395264,0.9791666666666666,0.9836214740673339,0.9747520288548241,0.996186118554163,0.025247971145175834
0.984375,0.5619351863861084,0.978704123244223,0.9836065573770492,0.9738503155996393,0.9961685496281799,0.026149684400360685
0.9847074468085106,0.5617763996124268,0.9791477787851314,0.9845031905195989,0.9738503155996393,0.9961804205241143,0.026149684400360685
0.9847074468085106,0.5617780685424805,0.9791477787851314,0.9845031905195989,0.9738503155996393,0.9961737728223911,0.026149684400360685
0.9850398936170213,0.5616776347160339,0.9795918367346939,0.9854014598540146,0.9738503155996393,0.9961922914200487,0.026149684400360685
0.9850398936170213,0.5616271495819092,0.9795918367346939,0.9854014598540146,0.9738503155996393,0.9961756721657405,0.026149684400360685
0.9857047872340425,0.5617494583129883,0.9805165382872677,0.9854280510018215,0.975653742110009,0.9961856437183255,0.024346257889990983
0.9853723404255319,0.5616738200187683,0.9800724637681161,0.9845313921747043,0.975653742110009,0.9962084358385198,0.024346257889990983
0.9850398936170213,0.5615935921669006,0.9795918367346939,0.9854014598540146,0.9738503155996393,0.9962046371518207,0.026149684400360685
0.9853723404255319,0.5615273118019104,0.9800362976406533,0.9863013698630136,0.9738503155996393,0.9962008384651218,0.026149684400360685
0.9850398936170213,0.5615268349647522,0.9795918367346939,0.9854014598540146,0.9738503155996393,0.9961963275246666,0.026149684400360685
0.9850398936170213,0.5614234209060669,0.9795918367346939,0.9854014598540146,0.9738503155996393,0.9961998887934469,0.026149684400360685
