global_acc,global_loss,global_f1,global_precision,global_recall,global_auc
0.9810505319148937,0.5637195110321045,0.9741026805997275,0.9816849816849816,0.9666366095581606,0.9957934293166495
0.984375,0.5623384714126587,0.9786848072562359,0.9844890510948905,0.9729486023444545,0.9962749128557531
0.9850398936170213,0.5619820356369019,0.9795733091239219,0.9862888482632541,0.9729486023444545,0.9963893482925615
0.9857047872340425,0.5618165731430054,0.9804988662131519,0.9863138686131386,0.9747520288548241,0.9964368318762995
0.9857047872340425,0.5615749955177307,0.9804811620517476,0.9872029250457038,0.9738503155996393,0.9964779051762329
0.9857047872340425,0.5614472031593323,0.9804811620517476,0.9872029250457038,0.9738503155996393,0.9964871644750619
0.9860372340425532,0.5613780617713928,0.9809437386569873,0.9872146118721461,0.9747520288548241,0.9965002224605899
0.9857047872340425,0.5613581538200378,0.9804988662131519,0.9863138686131386,0.9747520288548241,0.9965275255212391
0.9857047872340425,0.5612326860427856,0.9804988662131519,0.9863138686131386,0.9747520288548241,0.996522302327028
0.9853723404255319,0.5611926317214966,0.9800543970988214,0.9854147675478578,0.9747520288548241,0.9965280003570766
0.9857047872340425,0.5611621141433716,0.9805165382872677,0.9854280510018215,0.975653742110009,0.9965536414922951
0.9860372340425532,0.5611193776130676,0.9809782608695652,0.9854413102820746,0.9765554553651938,0.9965469937905717
0.9860372340425532,0.561072587966919,0.9809782608695652,0.9854413102820746,0.9765554553651938,0.9965572027610754
0.9863696808510638,0.5609915852546692,0.9814227458087903,0.9863387978142076,0.9765554553651938,0.9965543537460513
0.9863696808510638,0.5610005259513855,0.9814227458087903,0.9863387978142076,0.9765554553651938,0.9965640878807174
0.9860372340425532,0.5609856843948364,0.9809782608695652,0.9854413102820746,0.9765554553651938,0.9965664620599044
0.9863696808510638,0.5609391927719116,0.9814227458087903,0.9863387978142076,0.9765554553651938,0.9965707355824407
0.9863696808510638,0.5609472393989563,0.9814227458087903,0.9863387978142076,0.9765554553651938,0.9965778581200014
0.9860372340425532,0.560932457447052,0.9809782608695652,0.9854413102820746,0.9765554553651938,0.996573584597465
0.9863696808510638,0.5609006285667419,0.9814227458087903,0.9863387978142076,0.9765554553651938,0.9965764336124894
