global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.9787234042553191,0.4059699475765228,0.9869595058339053,0.9862825788751715,0.9876373626373627,0.9962870462870462,0.012362637362637362
0.9843225083986562,0.3944759964942932,0.9903581267217632,0.9930939226519337,0.9876373626373627,0.9966575091575092,0.012362637362637362
0.9854423292273237,0.3928845226764679,0.9910529938059187,0.993103448275862,0.989010989010989,0.9971112221112222,0.01098901098901099
0.986562150055991,0.3924504518508911,0.9917582417582418,0.9917582417582418,0.9917582417582418,0.9973859473859474,0.008241758241758242
0.986562150055991,0.39189326763153076,0.9917582417582418,0.9917582417582418,0.9917582417582418,0.9973526473526473,0.008241758241758242
0.9876819708846585,0.3915237784385681,0.9924398625429554,0.9931224209078404,0.9917582417582418,0.9973609723609723,0.008241758241758242
0.9876819708846585,0.39147600531578064,0.9924398625429554,0.9931224209078404,0.9917582417582418,0.9973651348651349,0.008241758241758242
0.9876819708846585,0.3909895718097687,0.9924398625429554,0.9931224209078404,0.9917582417582418,0.9971944721944723,0.008241758241758242
0.9888017917133258,0.39090147614479065,0.9931224209078404,0.9944903581267218,0.9917582417582418,0.9971611721611723,0.008241758241758242
0.9876819708846585,0.3909655213356018,0.9924398625429554,0.9931224209078404,0.9917582417582418,0.9971611721611723,0.008241758241758242
