global_acc,global_loss,global_f1,global_precision,global_recall,global_auc
0.993421052631579,0.5830814242362976,0.9902534113060429,1.0,0.9806949806949807,0.9994682449772271
0.9947368421052631,0.5697391629219055,0.9922480620155039,0.9961089494163424,0.9884169884169884,0.9997533889749459
0.993421052631579,0.5685474872589111,0.9903288201160542,0.9922480620155039,0.9884169884169884,0.9997919219476106
0.993421052631579,0.5679524540901184,0.9903288201160542,0.9922480620155039,0.9884169884169884,0.9998612812984071
0.9947368421052631,0.5676724910736084,0.9922779922779923,0.9922779922779923,0.9922779922779923,0.99986898789294
0.9947368421052631,0.5674746036529541,0.9922779922779923,0.9922779922779923,0.9922779922779923,0.9998766944874729
0.9960526315789474,0.5673725605010986,0.9942196531791908,0.9923076923076923,0.9961389961389961,0.9998844010820058
0.9960526315789474,0.5673191547393799,0.9942196531791908,0.9923076923076923,0.9961389961389961,0.9998844010820059
0.9960526315789474,0.5672495365142822,0.9942196531791908,0.9923076923076923,0.9961389961389961,0.999876694487473
0.9960526315789474,0.5672243237495422,0.9942196531791908,0.9923076923076923,0.9961389961389961,0.9998689878929401
