global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.9440107499360123,0.5420777797698975,0.9467275494672756,0.954573357888275,0.9390096618357487,0.9819353798989636,0.06099033816425121
0.9482979267980548,0.5286742448806763,0.9506353861192571,0.9619188921859545,0.9396135265700483,0.9839021972523991,0.06038647342995169
0.9502815459431789,0.5269127488136292,0.9525206232813932,0.9640074211502783,0.941304347826087,0.9848780617289796,0.058695652173913045
0.9514333248016381,0.5260859131813049,0.9535978480161399,0.965581280178284,0.9419082125603865,0.9854601567615757,0.058091787439613525
0.9528410545175326,0.52547687292099,0.954964864039108,0.9664811379097094,0.943719806763285,0.9858816293631446,0.05628019323671497
0.953480931661121,0.5249238610267639,0.9555704944081159,0.9672151428924904,0.9442028985507246,0.9863026499701519,0.05579710144927536
0.9537368825185565,0.5243760943412781,0.9558257469297978,0.9672313589711883,0.9446859903381642,0.9865126137711403,0.05531400966183575
0.9539288456616329,0.5242146849632263,0.9560385883502259,0.9667819214620894,0.9455314009661836,0.9867307381284861,0.05446859903381643
0.9541208088047095,0.523996889591217,0.9562351217725692,0.9666790077748982,0.9460144927536231,0.9869735742612273,0.05398550724637681
0.9545047350908625,0.5237290859222412,0.9566119484957588,0.9668187985691378,0.9466183574879227,0.9871853706947107,0.0533816425120773
