global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.9737367021276596,0.5700962543487549,0.964334085778781,0.9656419529837251,0.9630297565374211,0.9951642718321209,0.0369702434625789
0.9783909574468085,0.5670549273490906,0.9705749207786328,0.9745454545454545,0.9666366095581606,0.9958779500957032,0.033363390441839495
0.980718085106383,0.5659204721450806,0.9737793851717903,0.9764279238440616,0.9711451758340848,0.9961633264339685,0.028854824165915238
0.9823803191489362,0.5654259324073792,0.9760938204781237,0.9765342960288809,0.975653742110009,0.9962815605574762,0.024346257889990983
0.9827127659574468,0.5649728775024414,0.976513098464318,0.9782805429864253,0.9747520288548241,0.9963713045307412,0.025247971145175834
0.9830452127659575,0.5646735429763794,0.9769543605964752,0.9791666666666666,0.9747520288548241,0.9963831754266756,0.025247971145175834
0.9823803191489362,0.5645067095756531,0.9760722347629797,0.9773960216998192,0.9747520288548241,0.9964282848312268,0.025247971145175834
0.9827127659574468,0.5643671751022339,0.9765342960288809,0.9774164408310749,0.975653742110009,0.9964520266230957,0.024346257889990983
0.9830452127659575,0.5642385482788086,0.9769959404600811,0.9774368231046932,0.9765554553651938,0.9964857399675497,0.023444544634806132
0.9830452127659575,0.5641233325004578,0.9770166741775576,0.9765765765765766,0.9774571686203787,0.9964909631617609,0.02254283137962128
