global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.9464422830816484,0.5266863703727722,0.9491216339432255,0.9554522090319423,0.9428743961352657,0.982771610928341,0.0571256038647343
0.953097005374968,0.5257810354232788,0.9553185004571776,0.9644307692307692,0.946376811594203,0.9854268981799248,0.0536231884057971
0.9544407473765038,0.5244570374488831,0.9565959522067788,0.965780403741999,0.9475845410628019,0.9865160242755596,0.05241545893719807
0.9548246736626568,0.5236762166023254,0.9569512195121952,0.9663793103448276,0.9477053140096618,0.9871304245921859,0.052294685990338166
0.9554005630918864,0.5231355428695679,0.9575077729683595,0.9667610488735688,0.9484299516908212,0.9875060402909597,0.051570048309178745
0.9558484770923983,0.5227055549621582,0.9579627147556964,0.9665601180231128,0.9495169082125604,0.9877823897659226,0.050483091787439614
0.956360378807269,0.5223493576049805,0.9584399756246191,0.9672816728167282,0.9497584541062802,0.9879933561730294,0.050241545893719805
0.9570642436652163,0.5220783352851868,0.9591327121018332,0.9674407175328664,0.9509661835748793,0.988174441630573,0.04903381642512077
0.9573841822370105,0.5218214392662048,0.9594347667194542,0.9678053575817154,0.951207729468599,0.9883364529176167,0.048792270531400964
0.9574481699513694,0.5215950012207031,0.9594981423960046,0.9678093131834378,0.951328502415459,0.988472215647756,0.04867149758454106
